Country,Social Support 2018,Social Support 2019,Social Support 2020,Social Support 2021
Norway,1.582,1.582,0.952486575,0.954
Denmark,1.59,1.573,0.955990791,0.954
Iceland,1.644,1.624,0.974669576,0.983
Switzerland,1.549,1.526,0.942846596,0.942
Finland,1.592,1.587,0.954329729,0.954
Netherlands,1.488,1.522,0.93913883,0.942
Canada,1.532,1.505,0.927176654,0.926
New Zealand,1.601,1.557,0.949118972,0.948
Sweden,1.501,1.487,0.926311195,0.934
Australia,1.573,1.548,0.944854617,0.94
Israel,1.559,1.455,0.913571239,0.939
Costa Rica,1.459,1.441,0.901545942,0.891
Austria,1.504,1.475,0.928045869,0.934
United States,1.471,1.457,0.914219022,0.92
Ireland,1.583,1.553,0.942081571,0.947
Germany,1.474,1.454,0.898874462,0.903
Belgium,1.483,1.504,0.911632538,0.906
Luxembourg,1.52,1.479,0.906912208,0.908
United Kingdom,1.433,1.538,0.93668282,0.934
Chile,1.331,1.369,0.879713595,0.882
United Arab Emirates,0.776,1.31,0.849181116,0.844
Brazil,1.474,1.439,0.896723807,0.882
Argentina,1.468,1.432,0.900567949,0.898
Mexico,1.252,1.323,0.838665426,0.831
Singapore,1.451,1.463,0.910268962,0.915
Malta,1.525,1.52,0.93037951,0.931
Uruguay,1.459,1.465,0.92281127,0.925
Guatemala,1.268,1.269,0.816621482,0.813
Panama,1.438,1.442,0.902094483,0.896
France,1.466,1.472,0.937103748,0.942
Thailand,1.417,1.409,0.889973223,0.888
Spain,1.538,1.484,0.921125412,0.932
Colombia,1.439,1.41,0.884440243,0.847
Saudi Arabia,1.331,1.357,0.874067068,0.891
Kuwait,1.301,1.319,0.846475244,0.843
Slovakia,1.537,1.504,0.922493756,0.936
Bahrain,1.366,1.368,0.876342118,0.862
Malaysia,1.258,1.171,0.816509426,0.817
Nicaragua,1.319,1.325,0.857497036,0.864
Ecuador,1.33,1.312,0.836418986,0.821
El Salvador,1.231,1.242,0.806092262,0.762
Poland,1.448,1.438,0.874257445,0.898
Uzbekistan,1.584,1.529,0.926595807,0.918
Italy,1.501,1.488,0.889878571,0.88
Russia,1.479,1.452,0.903150737,0.903
Japan,1.462,1.419,0.883545935,0.884
Lithuania,1.527,1.515,0.926107109,0.935
Algeria,1.154,1.16,0.803385139,0.802
Latvia,1.454,1.465,0.918288589,0.927
South Korea,1.204,1.219,0.799387157,0.799
Moldova,1.301,1.328,0.843313575,0.857
Romania,1.219,1.232,0.825161517,0.832
Bolivia,1.223,1.209,0.803108692,0.81
Turkmenistan,1.533,1.538,0.958966196,0.983
Kazakhstan,1.516,1.508,0.934744895,0.952
Slovenia,1.506,1.523,0.939575672,0.948
Peru,1.249,1.274,0.831075251,0.832
Mauritius,1.387,1.402,0.910357833,0.905
Cyprus,1.191,1.223,0.805996239,0.802
Estonia,1.532,1.528,0.934729993,0.941
Belarus,1.498,1.465,0.90674746,0.91
Libya,1.35,1.303,0.825942934,0.827
Turkey,1.38,1.36,0.826313555,0.822
Paraguay,1.522,1.475,0.898727894,0.893
Philippines,1.312,1.293,0.846730053,0.83
Serbia,1.369,1.383,0.881475747,0.873
Jordan,1.265,1.225,0.80216372,0.767
Hungary,1.401,1.41,0.921934128,0.943
Jamaica,1.493,1.478,0.915701866,0.877
Croatia,1.161,1.266,0.874623716,0.924
Kosovo,1.23,1.232,0.820726514,0.821
China,1.142,1.125,0.798760593,0.811
Pakistan,0.81,0.886,0.689062297,0.651
Indonesia,1.215,1.203,0.808379889,0.811
Venezuela,1.469,1.427,0.890408158,0.861
Montenegro,1.279,1.361,0.855314612,0.858
Morocco,0.797,0.782,0.592628479,0.56
Azerbaijan,1.161,1.147,0.819308281,0.836
Dominican Republic,1.441,1.401,0.882085383,0.853
Greece,1.202,1.156,0.814380348,0.823
Lebanon,1.179,1.224,0.824338138,0.848
Portugal,1.429,1.431,0.886590719,0.879
Bosnia and Herzegovina,1.078,1.212,0.829204142,0.87
Honduras,1.205,1.236,0.821870148,0.812
Vietnam,1.365,1.346,0.849987149,0.85
Nigeria,1.172,1.111,0.73721689,0.74
Tajikistan,1.166,1.098,0.835297108,0.86
Kyrgyzstan,1.416,1.438,0.887228489,0.893
Nepal,1.228,1.226,0.785512447,0.774
Mongolia,1.517,1.531,0.937142491,0.935
South Africa,1.41,1.351,0.852532268,0.86
Tunisia,0.906,1.0,0.688718557,0.691
Palestinian Territories,1.217,1.247,0.825295925,0.826
Egypt,1.025,1.039,0.735447824,0.75
Bulgaria,1.515,1.513,0.937840343,0.931
Sierra Leone,0.813,0.841,0.636142015,0.63
Cameroon,0.891,0.91,0.700386405,0.71
Iran,0.771,0.842,0.694689691,0.71
Albania,0.817,0.848,0.671070457,0.697
Bangladesh,0.85,0.928,0.687292993,0.693
Kenya,1.048,0.983,0.702652037,0.688
Myanmar,1.174,1.181,0.78440702,0.779
Senegal,1.117,1.134,0.723616004,0.71
Zambia,1.047,1.058,0.698824465,0.708
Iraq,0.971,0.98,0.747694969,0.746
Gabon,1.164,1.183,0.787886858,0.776
Ethiopia,0.95,1.033,0.743307352,0.764
Sri Lanka,1.314,1.265,0.825374067,0.827
Armenia,0.99,1.055,0.757479429,0.799
India,0.747,0.765,0.592200935,0.603
Mauritania,1.245,1.167,0.790819228,0.795
Georgia,0.592,0.666,0.629033029,0.671
Mali,1.233,1.105,0.731468976,0.724
Ivory Coast,0.872,0.808,0.658048689,0.644
Cambodia,1.088,1.122,0.773080647,0.765
Ghana,0.896,0.868,0.728601098,0.727
Ukraine,1.413,1.39,0.878879368,0.888
Uganda,1.09,1.069,0.764994621,0.781
Burkina Faso,1.097,1.056,0.712943614,0.672
Niger,0.867,0.774,0.617435038,0.641
Malawi,0.541,0.56,0.544007301,0.537
Chad,0.907,0.766,0.632388055,0.619
Zimbabwe,1.094,1.114,0.763092756,0.75
Afghanistan,0.537,0.517,0.470366955,0.463
Botswana,1.174,1.145,0.779121757,0.784
Benin,0.372,0.437,0.468671143,0.489
Madagascar,0.908,0.916,0.668195903,0.686
Yemen,1.073,1.163,0.817980587,0.832
Liberia,0.858,0.922,0.70928055,0.72
Guinea,0.792,0.829,0.637573481,0.639
Togo,0.474,0.572,0.551312625,0.569
Rwanda,0.896,0.711,0.54083544,0.552
Tanzania,0.991,0.885,0.688933194,0.702
