Country,2000,2010,2015,2019,2020,2021,2022
Afghanistan,55.0,59.9,61.7,63.2,63.58,63.97,64.36
Albania,73.5,76.2,77.8,78.0,77.98,77.93,77.83
Algeria,72.2,75.9,76.5,77.1,77.27,77.44,77.61
Argentina,74.1,75.4,76.2,76.6,76.67,76.71,76.74
Armenia,71.9,73.1,74.5,76.0,76.42,76.86,77.31
Australia,79.7,81.9,82.3,83.0,83.22,83.44,83.66
Austria,78.2,80.4,81.0,81.6,81.77,81.94,82.11
Azerbaijan,65.5,69.0,70.7,71.4,71.48,71.5,71.46
Bahrain,70.5,74.5,76.5,75.8,75.28,74.56,73.62
Bangladesh,65.6,70.3,73.6,74.3,74.23,74.01,73.59
Belarus,68.8,70.4,73.8,74.8,74.79,74.6,74.23
Belgium,77.7,79.8,80.7,81.4,81.57,81.74,81.91
Benin,56.6,60.5,62.0,63.4,63.78,64.16,64.55
Bolivia,66.0,70.3,71.5,72.1,72.2,72.27,72.31
Bosnia and Herzegovina,75.4,76.2,76.3,76.8,76.97,77.13,77.25
Botswana,45.6,58.1,60.9,62.2,62.39,62.5,62.54
Brazil,71.5,74.1,75.1,75.9,76.1,76.3,76.5
Bulgaria,71.6,73.6,74.6,75.1,75.18,75.24,75.28
Burkina Faso,51.6,58.6,60.9,62.7,63.14,63.59,64.03
Cambodia,58.7,67.2,69.2,70.1,70.22,70.29,70.3
Cameroon,52.8,56.6,59.1,62.4,63.39,64.41,65.43
Canada,79.1,81.3,81.8,82.2,82.3,82.4,82.5
Chad,51.1,55.7,57.9,59.6,60.02,60.43,60.84
Chile,76.8,78.5,79.8,80.7,80.91,81.1,81.29
China,71.6,74.9,76.6,77.4,77.52,77.59,77.62
Colombia,73.7,77.1,78.4,79.3,79.51,79.7,79.89
Comoros,61.5,65.0,66.5,67.4,67.58,67.75,67.89
Congo,52.1,61.0,63.1,64.7,65.09,65.47,65.86
Costa Rica,78.0,79.6,80.8,80.8,80.8,80.8,80.8
Croatia,74.4,76.7,77.6,78.6,78.89,79.18,79.48
Cyprus,78.7,81.0,82.0,83.1,83.41,83.74,84.07
Czechia,75.0,77.6,78.5,79.1,79.23,79.36,79.48
Ivory Coast,50.3,56.6,60.2,62.9,63.55,64.19,64.82
South Korea,64.0,70.2,71.8,72.6,72.73,72.83,72.88
Denmark,76.9,79.2,80.6,81.3,81.41,81.5,81.55
Dominican Republic,73.2,73.2,71.8,72.8,73.34,73.98,74.73
Ecuador,74.5,75.0,77.2,78.4,78.62,78.8,78.94
Egypt,69.8,70.2,70.5,71.8,72.24,72.65,72.99
El Salvador,72.5,74.5,73.2,75.0,75.8,76.64,77.48
Estonia,70.9,75.9,77.6,78.9,79.22,79.53,79.84
Kingdom of Eswatini,47.0,47.4,54.0,57.7,58.4,58.99,59.48
Ethiopia,50.6,62.9,66.8,68.7,69.0,69.21,69.31
Finland,77.6,79.9,81.2,81.6,81.6,81.54,81.41
France,78.9,81.2,81.9,82.5,82.66,82.81,82.97
Gabon,58.1,62.2,64.9,66.5,66.82,67.11,67.35
Gambia,59.2,62.4,64.1,65.5,65.86,66.21,66.57
Georgia,69.4,71.9,72.6,73.3,73.49,73.69,73.89
Germany,78.1,80.2,80.4,81.7,82.14,82.54,82.85
Ghana,59.2,62.0,64.5,66.3,66.72,67.13,67.54
Greece,78.2,80.1,80.4,81.1,81.33,81.55,81.76
Guatemala,66.8,69.3,70.9,72.0,72.25,72.49,72.72
Guinea,54.3,58.1,58.8,61.0,61.73,62.44,63.06
Honduras,70.0,71.1,69.8,71.9,72.81,73.73,74.61
Hungary,71.3,74.6,75.6,76.4,76.6,76.8,77.0
Iceland,79.7,81.7,82.1,82.3,82.33,82.36,82.37
India,62.1,67.2,69.3,70.8,71.15,71.49,71.82
Indonesia,67.2,69.3,70.6,71.3,71.43,71.53,71.61
Iran,72.6,75.9,76.7,77.3,77.44,77.59,77.73
Iraq,68.8,70.2,70.3,72.4,73.12,73.73,74.13
Ireland,76.4,80.4,81.1,81.8,81.99,82.19,82.39
Israel,78.6,81.6,81.9,82.6,82.83,83.05,83.26
Italy,79.4,81.9,82.2,83.0,83.26,83.52,83.76
Jamaica,74.2,75.8,75.9,76.0,76.03,76.06,76.08
Japan,81.1,82.7,83.6,84.3,84.47,84.64,84.81
Jordan,72.6,76.6,77.8,77.9,77.89,77.87,77.82
Kazakhstan,63.1,68.4,71.9,74.0,74.43,74.81,75.14
Kenya,53.9,61.2,64.2,66.1,66.5,66.88,67.22
Kuwait,77.9,79.8,81.1,81.0,80.9,80.76,80.56
Kyrgyzstan,66.0,69.2,71.6,74.2,74.94,75.7,76.47
Laos,58.4,64.9,67.1,68.5,68.8,69.08,69.33
Latvia,70.2,72.9,74.8,75.4,75.41,75.33,75.15
Lebanon,74.6,75.5,76.0,76.4,76.5,76.6,76.7
Lesotho,47.8,47.4,47.7,50.7,51.73,52.63,53.27
Liberia,53.8,60.7,61.2,64.1,65.09,65.98,66.68
Libya,74.4,76.0,74.6,75.8,76.41,77.11,77.89
Lithuania,72.0,73.1,74.4,76.0,76.47,76.96,77.45
Luxembourg,78.2,80.9,82.3,82.4,82.39,82.37,82.32
Madagascar,58.8,62.8,64.2,65.3,65.57,65.84,66.11
Malawi,44.7,56.8,63.0,65.6,65.9,66.01,65.9
Malaysia,72.8,74.3,75.0,74.7,74.5,74.23,73.89
Mali,52.6,59.0,60.9,62.8,63.33,63.86,64.41
Malta,77.9,80.4,81.6,81.9,81.87,81.78,81.6
Mauritania,62.0,65.6,67.4,68.4,68.59,68.74,68.87
Mauritius,71.2,73.2,74.1,74.1,74.1,74.1,74.1
Mexico,74.4,75.1,75.9,76.0,75.99,75.96,75.91
Mongolia,60.5,65.1,67.6,68.1,68.05,67.89,67.6
Montenegro,73.6,74.7,75.3,75.9,76.07,76.24,76.41
Morocco,69.3,71.6,72.5,73.0,73.09,73.17,73.24
Mozambique,50.7,53.5,55.9,58.1,58.69,59.29,59.89
Myanmar,60.0,64.8,67.6,69.1,69.37,69.59,69.75
Namibia,53.3,60.9,62.9,64.6,65.04,65.48,65.93
Nepal,65.3,69.2,69.4,70.9,71.41,71.87,72.21
Netherlands,78.0,80.7,81.3,81.8,81.93,82.06,82.19
New Zealand,78.6,80.9,81.3,82.0,82.22,82.44,82.66
Nicaragua,73.3,74.1,74.6,75.0,75.1,75.2,75.3
Niger,50.4,59.0,61.5,63.3,63.72,64.13,64.54
Nigeria,53.6,59.2,61.2,62.6,62.92,63.23,63.53
Kosovo,71.1,73.1,73.7,74.8,75.15,75.5,75.84
Norway,78.5,80.9,82.0,82.6,82.71,82.8,82.87
Pakistan,60.1,62.6,64.2,65.6,65.97,66.34,66.71
Panama,77.2,77.5,78.7,79.3,79.4,79.47,79.51
Paraguay,74.8,75.0,75.6,75.8,75.81,75.79,75.74
Peru,74.4,77.3,79.1,79.9,80.01,80.06,80.06
Philippines,69.0,70.0,70.3,70.4,70.4,70.39,70.37
Poland,73.7,76.3,77.3,78.3,78.58,78.86,79.15
Portugal,76.6,79.7,80.9,81.6,81.74,81.86,81.96
Moldova,66.9,68.8,71.1,73.3,73.9,74.51,75.13
Romania,71.4,73.7,74.8,75.6,75.79,75.97,76.15
Russia,65.3,68.8,71.3,73.2,73.66,74.12,74.57
Rwanda,47.5,64.4,67.7,69.1,69.27,69.33,69.29
Saudi Arabia,70.5,71.8,73.2,74.3,74.57,74.84,75.11
Senegal,58.6,65.5,67.2,68.6,68.96,69.31,69.67
Serbia,71.4,74.2,75.2,75.9,76.06,76.22,76.37
Sierra Leone,48.7,54.7,56.9,60.8,62.03,63.28,64.49
Singapore,78.4,81.7,82.8,83.2,83.23,83.21,83.15
Slovakia,73.3,75.5,77.0,78.2,78.5,78.8,79.1
Slovenia,76.1,79.6,80.5,81.3,81.51,81.72,81.94
South Africa,55.8,57.1,62.6,65.3,65.73,66.03,66.2
Spain,79.1,81.7,82.3,83.2,83.48,83.76,84.04
Sri Lanka,71.9,73.3,76.3,76.9,76.84,76.65,76.31
Sweden,79.6,81.3,81.7,82.4,82.62,82.84,83.06
Switzerland,79.7,82.2,82.6,83.4,83.66,83.91,84.16
Palestinian Territories,71.5,74.3,64.4,72.7,76.94,81.85,87.31
Tajikistan,65.6,68.0,68.7,69.5,69.73,69.97,70.21
Thailand,71.3,76.3,77.4,77.7,77.69,77.61,77.47
Togo,55.9,59.3,61.9,64.3,64.94,65.6,66.26
Tunisia,74.1,76.0,76.7,77.0,77.04,77.05,77.04
Turkmenistan,63.3,67.3,69.1,69.7,69.72,69.67,69.52
Turkey,74.4,76.9,77.8,78.6,78.81,79.02,79.24
Uganda,48.8,59.7,64.5,66.7,67.01,67.19,67.24
Ukraine,67.5,70.2,72.2,73.0,73.08,73.1,73.03
United Arab Emirates,73.2,74.9,75.3,76.1,76.36,76.61,76.86
United Kingdom,77.9,80.2,80.7,81.4,81.61,81.83,82.05
Tanzania,52.5,61.4,65.4,67.3,67.59,67.77,67.85
United States,76.7,78.6,78.6,78.5,78.47,78.44,78.42
Uruguay,74.8,76.4,77.0,77.1,77.09,77.06,77.01
Uzbekistan,65.3,70.2,71.4,73.0,73.48,73.97,74.47
Venezuela,74.1,74.8,74.7,73.9,73.63,73.38,73.2
Vietnam,71.4,72.7,73.2,73.7,73.84,73.98,74.12
Yemen,62.7,67.7,67.5,66.6,66.3,66.01,65.78
Zambia,44.5,56.7,60.5,62.5,62.85,63.13,63.33
Zimbabwe,46.6,51.5,58.5,60.7,60.73,60.44,59.77
